date,count-nombre
2021-04-04,<20
2021-04-11,<20
2021-04-18,<20
2021-04-25,<20
2021-05-02,<20
2021-05-09,<20
2021-05-16,<20
2021-05-23,<20
2021-05-30,<20
2021-06-06,<20
2021-06-13,<20
2021-06-20,<20
2021-06-27,<20
2021-07-04,<20
2021-07-11,<20
2021-07-18,<20
2021-07-25,<20
2021-08-01,<20
2021-08-08,<20
2021-08-15,<20
2021-08-22,<20
2021-08-29,<20
2021-09-05,<20
2021-09-12,<20
2021-09-19,<20
2021-09-26,<20
2021-10-03,<20
2021-10-10,<20
2021-10-17,<20
2021-10-24,<20
2021-10-31,<20
2021-11-07,<20
2021-11-14,<20
2021-11-21,<20
2021-11-28,<20
2021-12-05,<20
2021-12-12,<20
2021-12-19,<20
