date,os-se,count-nombre
2021-02-28,android,<20
2021-02-28,ios,<20
2021-03-07,android,<20
2021-03-07,ios,<20
2021-03-14,android,<20
2021-03-14,ios,<20
2021-03-21,android,<20
2021-03-21,ios,<20
2021-03-28,android,39
2021-03-28,ios,<20
2021-04-04,android,<20
2021-04-04,ios,<20
2021-04-11,android,<20
2021-04-11,ios,<20
2021-04-18,android,<20
2021-04-18,ios,<20
2021-04-25,android,<20
2021-04-25,ios,<20
2021-05-02,android,36
2021-05-02,ios,24
2021-05-09,android,62
2021-05-09,ios,76
2021-05-16,android,72
2021-05-16,ios,78
2021-05-23,android,30
2021-05-23,ios,30
2021-05-30,android,<20
2021-05-30,ios,<20
2021-06-06,android,<20
2021-06-06,ios,<20
2021-06-13,android,<20
2021-06-13,ios,<20
2021-06-20,android,<20
2021-06-20,ios,20
2021-06-27,android,71
2021-06-27,ios,50
2021-07-04,android,40
2021-07-04,ios,20
2021-07-11,android,<20
2021-07-11,ios,<20
2021-07-18,android,<20
2021-07-18,ios,<20
2021-07-25,android,<20
2021-07-25,ios,<20
2021-08-01,android,31
2021-08-01,ios,21
2021-08-08,android,78
2021-08-08,ios,75
2021-08-15,android,33
2021-08-15,ios,<20
2021-08-22,android,<20
2021-08-22,ios,<20
2021-08-29,android,<20
2021-08-29,ios,<20
2021-09-05,android,<20
2021-09-05,ios,<20
2021-09-12,android,<20
2021-09-12,ios,<20
2021-09-19,android,<20
2021-09-19,ios,<20
2021-09-26,android,<20
2021-09-26,ios,<20
2021-10-03,android,<20
2021-10-03,ios,<20
2021-10-10,android,<20
2021-10-10,ios,<20
