date,region,count-nombre
2021-02-28,AB,0
2021-02-28,BC,0
2021-02-28,MB,0
2021-02-28,NB,0
2021-02-28,NL,0
2021-02-28,NT,0
2021-02-28,NS,0
2021-02-28,NU,0
2021-02-28,ON,6
2021-02-28,PE,0
2021-02-28,QC,0
2021-02-28,SK,0
2021-02-28,YT,0
2021-02-28,NPTS,0
2021-03-07,AB,0
2021-03-07,BC,0
2021-03-07,MB,0
2021-03-07,NB,0
2021-03-07,NL,0
2021-03-07,NT,0
2021-03-07,NS,0
2021-03-07,NU,0
2021-03-07,ON,2
2021-03-07,PE,0
2021-03-07,QC,0
2021-03-07,SK,0
2021-03-07,YT,0
2021-03-07,NPTS,0
2021-03-14,AB,0
2021-03-14,BC,0
2021-03-14,MB,0
2021-03-14,NB,0
2021-03-14,NL,0
2021-03-14,NT,0
2021-03-14,NS,0
2021-03-14,NU,0
2021-03-14,ON,0
2021-03-14,PE,0
2021-03-14,QC,0
2021-03-14,SK,0
2021-03-14,YT,0
2021-03-14,NPTS,0
2021-03-21,AB,0
2021-03-21,BC,0
2021-03-21,MB,0
2021-03-21,NB,0
2021-03-21,NL,0
2021-03-21,NT,0
2021-03-21,NS,0
2021-03-21,NU,0
2021-03-21,ON,3
2021-03-21,PE,0
2021-03-21,QC,0
2021-03-21,SK,0
2021-03-21,YT,0
2021-03-21,NPTS,0
2021-03-28,AB,0
2021-03-28,BC,0
2021-03-28,MB,0
2021-03-28,NB,0
2021-03-28,NL,0
2021-03-28,NT,0
2021-03-28,NS,1
2021-03-28,NU,0
2021-03-28,ON,8
2021-03-28,PE,0
2021-03-28,QC,0
2021-03-28,SK,0
2021-03-28,YT,0
2021-03-28,NPTS,0
2021-04-04,AB,0
2021-04-04,BC,0
2021-04-04,MB,0
2021-04-04,NB,0
2021-04-04,NL,0
2021-04-04,NT,0
2021-04-04,NS,0
2021-04-04,NU,0
2021-04-04,ON,62
2021-04-04,PE,0
2021-04-04,QC,0
2021-04-04,SK,0
2021-04-04,YT,0
2021-04-04,NPTS,0
2021-04-11,AB,0
2021-04-11,BC,0
2021-04-11,MB,0
2021-04-11,NB,0
2021-04-11,NL,0
2021-04-11,NT,0
2021-04-11,NS,0
2021-04-11,NU,0
2021-04-11,ON,189
2021-04-11,PE,0
2021-04-11,QC,0
2021-04-11,SK,0
2021-04-11,YT,0
2021-04-11,NPTS,0
2021-04-18,AB,0
2021-04-18,BC,0
2021-04-18,MB,0
2021-04-18,NB,0
2021-04-18,NL,0
2021-04-18,NT,0
2021-04-18,NS,0
2021-04-18,NU,0
2021-04-18,ON,3
2021-04-18,PE,0
2021-04-18,QC,0
2021-04-18,SK,0
2021-04-18,YT,0
2021-04-18,NPTS,0
2021-04-25,AB,0
2021-04-25,BC,0
2021-04-25,MB,0
2021-04-25,NB,0
2021-04-25,NL,0
2021-04-25,NT,0
2021-04-25,NS,0
2021-04-25,NU,0
2021-04-25,ON,1
2021-04-25,PE,0
2021-04-25,QC,0
2021-04-25,SK,0
2021-04-25,YT,0
2021-04-25,NPTS,0
2021-05-02,AB,0
2021-05-02,BC,0
2021-05-02,MB,0
2021-05-02,NB,0
2021-05-02,NL,0
2021-05-02,NT,0
2021-05-02,NS,0
2021-05-02,NU,0
2021-05-02,ON,16
2021-05-02,PE,0
2021-05-02,QC,0
2021-05-02,SK,0
2021-05-02,YT,0
2021-05-02,NPTS,0
2021-05-09,AB,0
2021-05-09,BC,0
2021-05-09,MB,0
2021-05-09,NB,0
2021-05-09,NL,0
2021-05-09,NT,0
2021-05-09,NS,0
2021-05-09,NU,0
2021-05-09,ON,86
2021-05-09,PE,0
2021-05-09,QC,0
2021-05-09,SK,0
2021-05-09,YT,0
2021-05-09,NPTS,0
2021-05-16,AB,0
2021-05-16,BC,0
2021-05-16,MB,0
2021-05-16,NB,0
2021-05-16,NL,0
2021-05-16,NT,0
2021-05-16,NS,0
2021-05-16,NU,0
2021-05-16,ON,162
2021-05-16,PE,0
2021-05-16,QC,0
2021-05-16,SK,0
2021-05-16,YT,0
2021-05-16,NPTS,0
2021-05-23,AB,0
2021-05-23,BC,0
2021-05-23,MB,0
2021-05-23,NB,0
2021-05-23,NL,0
2021-05-23,NT,0
2021-05-23,NS,0
2021-05-23,NU,0
2021-05-23,ON,36
2021-05-23,PE,0
2021-05-23,QC,3
2021-05-23,SK,0
2021-05-23,YT,0
2021-05-23,NPTS,2
