date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-09,7-12,android,1.2.2,<20
2021-03-10,1-6,android,1.2.2,<20
2021-03-11,7-12,android,1.2.2,<20
2021-03-12,13-30,android,1.2.2,<20
2021-03-13,13-30,android,1.2.2,<20
2021-03-16,1-6,android,1.2.2,<20
2021-03-17,13-30,android,1.2.2,<20
2021-03-18,1-6,android,1.2.2,<20
2021-03-24,1-6,android,1.2.4,<20
2021-03-24,13-30,android,1.2.2,<20
2021-03-24,13-30,android,1.2.4,<20
2021-03-25,13-30,android,1.2.4,<20
2021-03-25,30+,android,1.2.2,<20
2021-03-25,7-12,android,1.2.4,<20
2021-03-26,13-30,android,1.2.4,<20
2021-03-26,30+,android,1.2.2,<20
2021-03-26,7-12,android,1.2.4,<20
2021-03-27,1-6,android,1.2.4,<20
2021-03-27,13-30,android,1.2.4,<20
2021-03-27,30+,android,1.2.2,<20
2021-03-27,30+,android,1.2.4,<20
2021-03-28,1-6,android,1.2.2,<20
2021-03-28,13-30,android,1.2.4,<20
2021-03-28,30+,android,1.2.4,<20
2021-03-29,30+,android,1.2.4,<20
2021-03-29,7-12,android,1.2.2,<20
2021-03-30,13-30,android,1.2.2,<20
2021-04-01,7-12,android,1.2.6,<20
2021-04-02,7-12,android,1.2.6,<20
2021-04-03,13-30,android,1.2.6,<20
2021-04-08,13-30,android,1.2.7,<20
2021-04-09,1-6,android,1.2.7,<20
2021-04-09,7-12,ios,1.2.7,<20
2021-04-10,1-6,ios,1.2.7,<20
2021-04-10,13-30,android,1.2.7,<20
2021-04-10,7-12,ios,1.2.7,<20
2021-04-11,1-6,android,1.2.7,<20
2021-04-11,1-6,ios,1.2.7,<20
2021-04-11,7-12,ios,1.2.7,<20
2021-04-12,1-6,android,1.2.7,<20
2021-04-12,1-6,ios,1.2.7,<20
2021-04-12,13-30,ios,1.2.7,<20
2021-04-12,7-12,android,1.2.7,<20
2021-04-12,7-12,ios,1.2.7,<20
2021-04-13,1-6,ios,1.2.7,<20
2021-04-13,13-30,ios,1.2.7,<20
2021-04-13,7-12,ios,1.2.7,<20
2021-04-14,1-6,android,1.2.7,<20
2021-04-14,1-6,ios,1.2.7,<20
2021-04-14,7-12,ios,1.2.7,<20
2021-04-15,1-6,android,1.2.7,<20
2021-04-15,13-30,ios,1.2.7,<20
2021-04-15,7-12,android,1.2.7,<20
2021-04-15,7-12,ios,1.2.7,<20
2021-04-16,1-6,android,1.2.7,<20
2021-04-16,7-12,ios,1.2.7,<20
2021-04-27,7-12,ios,1.2.1,<20
2021-04-28,30+,android,1.2.8,<20
2021-04-28,7-12,ios,1.2.1,<20
2021-04-29,1-6,ios,1.2.9,<20
2021-04-29,7-12,android,1.2.8,<20
2021-04-30,13-30,android,1.2.0,<20
2021-04-30,13-30,ios,1.2.9,<20
2021-04-30,7-12,ios,1.2.9,<20
2021-05-01,1-6,ios,1.2.9,<20
2021-05-01,30+,android,1.2.9,<20
2021-05-01,7-12,android,1.2.9,<20
2021-05-01,7-12,ios,1.2.9,<20
2021-05-02,1-6,android,1.2.9,<20
2021-05-02,1-6,ios,1.2.9,<20
2021-05-02,13-30,ios,1.2.9,<20
2021-05-02,30+,android,1.2.9,<20
2021-05-02,7-12,ios,1.2.9,<20
2021-05-03,1-6,android,1.2.9,<20
2021-05-03,1-6,ios,1.2.9,<20
2021-05-03,7-12,ios,1.2.9,<20
2021-05-04,1-6,android,1.2.9,<20
2021-05-04,1-6,ios,1.2.9,<20
2021-05-04,13-30,android,1.2.0,<20
2021-05-04,13-30,android,1.2.8,<20
2021-05-04,13-30,android,1.2.9,<20
2021-05-04,13-30,ios,1.2.9,<20
2021-05-04,7-12,ios,1.2.9,<20
2021-05-05,1-6,ios,1.2.9,<20
2021-05-05,13-30,android,1.2.9,<20
2021-05-05,13-30,ios,1.2.9,<20
2021-05-05,30+,android,1.2.8,<20
2021-05-05,30+,android,1.2.9,<20
2021-05-05,7-12,ios,1.2.9,<20
2021-05-06,1-6,ios,1.2.9,<20
2021-05-06,13-30,android,1.2.0,<20
2021-05-06,13-30,android,1.2.9,<20
2021-05-06,13-30,ios,1.2.9,<20
2021-05-06,7-12,android,1.2.9,<20
2021-05-06,7-12,ios,1.2.9,<20
2021-05-07,1-6,android,1.2.9,<20
2021-05-07,1-6,ios,1.2.0,<20
2021-05-07,1-6,ios,1.2.8,<20
2021-05-07,1-6,ios,1.2.9,<20
2021-05-07,13-30,ios,1.2.9,<20
2021-05-07,7-12,ios,1.2.9,<20
2021-05-08,1-6,ios,1.2.0,<20
2021-05-08,13-30,android,1.2.9,<20
2021-05-08,13-30,ios,1.2.9,<20
2021-05-08,7-12,android,1.2.9,<20
2021-05-08,7-12,ios,1.2.9,<20
2021-05-09,1-6,android,1.2.9,<20
2021-05-09,1-6,ios,1.2.0,<20
2021-05-09,1-6,ios,1.2.9,<20
2021-05-09,13-30,ios,1.2.9,<20
